"id","plaatsnaam_in_bron","plaatsnaam","eerste_jaar_min","eerste_jaar_max","laatste_jaar_min","laatste_jaar_max","aantal","tgn_uri","gn_uri","land","lat","lon"
"2128","Lossensis","Borgloon","1557","1558","1557","1558","1",,"http://www.geonames.org/2801467","Belgium","50.80505","5.34366"
"2129","Lothem","Lottum","1476","1477","1476","1477","1","http://vocab.getty.edu/tgn/7265237","http://www.geonames.org/2751422","Netherlands","51.461667","6.161111"
"2130","Lottem","Lottum","1508","1509","1508","1509","1","http://vocab.getty.edu/tgn/7265237","http://www.geonames.org/2751422","Netherlands","51.461667","6.161111"
"2131","Lotthem","Lottum","1477","1478","1509","1510","10","http://vocab.getty.edu/tgn/7265237","http://www.geonames.org/2751422","Netherlands","51.461667","6.161111"
"2132","Lotthen","Lottum","1477","1478","1477","1478","2","http://vocab.getty.edu/tgn/7265237","http://www.geonames.org/2751422","Netherlands","51.461667","6.161111"
"2133","Lovanio","Leuven","1456","1457","1508","1509","5","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"2134","Loven","Leuven","1446","1447","1606","1607","14","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"2135","Lubbeeck","Lübeck","1466","1467","1485","1486","5","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"2136","Lubbick","Lübeck","1470","1471","1493","1494","7","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"2137","Lubecke","Lübeck","1497","1498","1497","1498","1","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"2138","Lubeeck","Lübeck","1474","1475","1501","1502","21","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"4052","Veen","Veen","1493","1494","1497","1498","3","http://vocab.getty.edu/tgn/7273061","http://www.geonames.org/2745784","Netherlands","51.7775","5.108333"
"2140","Lubeke","Lübeck","1515","1516","1519","1520","4","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"2141","Lubic","Lübeck","1492","1493","1492","1493","6","http://vocab.getty.edu/tgn/7012327",,"Germany","53.866667","10.7"
"2142","Ludic","Luik","1413","1414","1445","1446","3",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2143","Ludick","Luik","1424","1425","1550","1551","26",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2144","Ludijck","Luik","1553","1554","1553","1554","1",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2145","Luet","Leuth","1477","1478","1477","1478","1","http://vocab.getty.edu/tgn/7264165","http://www.geonames.org/2751682","Netherlands","51.839167","5.991667"
"2146","Lueven","Leuven","1459","1460","1569","1570","3","http://vocab.getty.edu/tgn/7264162","http://www.geonames.org/2751679","Netherlands","51.844167","5.094444"
"2147","Luijck","Luik","1549","1550","1549","1550","2",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"4051","Outhoesden","Oudheusden","1523","1524","1523","1524","1","http://vocab.getty.edu/tgn/7267192",,,"51.733333","5.133333"
"2149","Lutcemborch","Luxemburg","1503","1504","1503","1504","1",,"http://www.geonames.org/2960316","Luxembourg","49.61167","6.13"
"2150","Luyc","Luik","1435","1436","1435","1436","1",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2151","Luyck","Luik","1487","1488","1556","1557","3",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2152","Luydich","Luik","1500","1501","1500","1501","2",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"2153","Luydick","Luik","1559","1560","1559","1560","1",,"http://www.geonames.org/2792413","Belgium","50.63373","5.56749"
"4050","Kuyck","Nieuwkuijk","1497","1498","1500","1501","2","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2155","Luysdunen by den Haghe","Loosduinen","1480","1481","1480","1481","1",,"http://www.geonames.org/2751442","Netherlands","52.05073","4.23469"
"2156","Lyedrop","Lierop","1457","1458","1457","1458","1","http://vocab.getty.edu/tgn/7264333","http://www.geonames.org/2751634","Netherlands","51.419167","5.679167"
"2157","Lyembd","Liempde","1500","1501","1500","1501","1","http://vocab.getty.edu/tgn/7264344","http://www.geonames.org/2751645","Netherlands","51.569167","5.372222"
"2158","Lyemd","Liempde","1522","1523","1543","1544","2","http://vocab.getty.edu/tgn/7264344","http://www.geonames.org/2751645","Netherlands","51.569167","5.372222"
"2159","Lyemde","Liempde","1449","1450","1530","1531","5","http://vocab.getty.edu/tgn/7264344","http://www.geonames.org/2751645","Netherlands","51.569167","5.372222"
"2160","Lyemdt","Liempde","1537","1538","1537","1538","1","http://vocab.getty.edu/tgn/7264344","http://www.geonames.org/2751645","Netherlands","51.569167","5.372222"
"2161","Lyen","Leiden","1477","1478","1477","1478","10","http://vocab.getty.edu/tgn/7006809","http://www.geonames.org/2751773","Netherlands","52.158333","4.493056"
"4049","Kuick","Nieuwkuijk","1493","1494","1493","1494","1","http://vocab.getty.edu/tgn/7267594","http://www.geonames.org/2750180","Netherlands","51.69","5.181944"
"2163","Lyenden","Lienden","1469","1470","1474","1475","4","http://vocab.getty.edu/tgn/7264340",,,"51.95","5.516667"
"2164","Lyer","Lier","1469","1470","1469","1470","2","http://vocab.getty.edu/tgn/1047706","http://www.geonames.org/2757336","Netherlands","51.975","4.248611"
"2165","Lyer...","Lier of Lierop","1507","1508","1507","1508","1",,,,"0","0"
"2166","Lyerop","Lierop","1459","1460","1459","1460","1","http://vocab.getty.edu/tgn/7264333","http://www.geonames.org/2751634","Netherlands","51.419167","5.679167"
"2167","Lyeshout","Lieshout","1467","1468","1467","1468","1","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2168","Lyshaut","Lieshout","1493","1494","1523","1524","2","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2169","Lyshout","Lieshout","1508","1509","1508","1509","1","http://vocab.getty.edu/tgn/1047916","http://www.geonames.org/2751627","Netherlands","51.5375","5.594444"
"2170","Lyt","Lith","1443","1444","1531","1532","34","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
"2171","Lyth","Lith","1534","1535","1536","1537","4","http://vocab.getty.edu/tgn/7264714","http://www.geonames.org/2751543","Netherlands","51.805833","5.438889"
