"id","plaats_in_bron","plaats","start","eind","aantal","geonames","kloekeCode"
705,"Naerden","Naarden",1637,1790,78,"http://sws.geonames.org/2750521","E125p"
707,"Saardam","Zaandam",1683,1793,78,"http://sws.geonames.org/2744118","E086p"
715,"Maessluijs","Maassluis",1689,1791,77,"http://sws.geonames.org/2751285","I007p"
718,"Nimmegen","Nijmegen",1648,1791,77,"http://sws.geonames.org/2750053","L071p"
722,"Winterswijk","Winterswijk",1693,1791,77,"http://sws.geonames.org/2744332","M013p"
723,"Huijsen","Huizen",1680,1789,76,"http://sws.geonames.org/2753468","E127p"
730,"Rheenen","Rhenen",1696,1792,76,"http://sws.geonames.org/2748185","L008p"
732,"Alblasserdam","Alblasserdam",1688,1791,75,"http://sws.geonames.org/2759915","K053p"
733,"Bolswaard","Bolsward",1704,1793,75,"http://sws.geonames.org/2758682","B110p"
736,"Leeuwaerde","Leeuwarden",1682,1786,74,"http://sws.geonames.org/2751792","B056p"
739,"Montfoort","Montfoort",1681,1787,74,"http://sws.geonames.org/2750626","E217p"
742,"Enkhuijzen","Enkhuizen",1701,1793,74,"http://sws.geonames.org/2756077","E040p"
744,"Gordijk","Gorredijk",1696,1794,74,"http://sws.geonames.org/2755429","B124p"
750,"Werkendam","Werkendam",1691,1793,73,"http://sws.geonames.org/2744827","K100p"
759,"Diemen","Diemen",1637,1794,72,"http://sws.geonames.org/2756888","E111b"
761,"Brouwershaven","Brouwershaven",1688,1790,72,"http://sws.geonames.org/2758213","I036p"
763,"Hinlopen","Hindeloopen",1680,1793,71,"http://sws.geonames.org/2754059","F002p"
766,"Gornichem","Gorinchem",1703,1792,71,"http://sws.geonames.org/2755434","K099p"
769,"Maestricht","Maastricht",1641,1793,70,"http://sws.geonames.org/2751283","Q095p"
772,"Amelandt","Ameland",1635,1791,70,"http://sws.geonames.org/2759846",""
775,"Hattem","Hattem",1682,1791,70,"http://sws.geonames.org/2754768","F103p"
776,"Shertogenbos","'s-Hertogenbosch",1700,1783,70,"http://sws.geonames.org/2747351","K150p"
777,"Gorcom","Gorinchem",1649,1771,70,"http://sws.geonames.org/2755434","K099p"
784,"Driel","Driel",1682,1792,69,"http://sws.geonames.org/2756591","L022p"
805,"Wesep","Weesp",1684,1788,67,"http://sws.geonames.org/2744904","E121p"
806,"Ballem","Ballum",1694,1791,67,"http://sws.geonames.org/2759456","B001p"
809,"Velsen","Velsen",1661,1792,67,"http://sws.geonames.org/2745673","E080a"
810,"Uijtgeest","Uitgeest",1668,1793,67,"http://sws.geonames.org/2745978","E065p"
