"id","kloeke_nieuw","kloeke_uri","naam","kloeke_oud","sameConceptAs","ligt_in_uri","lat","lon"
"2535","K191a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K191a","Meersel","K 191a",,"http://vocab.getty.edu/tgn/1000063","51.4905726495","4.77586087735"
"2536","K191p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K191p","Meerle","K 191",,"http://vocab.getty.edu/tgn/7003624","51.4742388785","4.81101397531"
"2537","K192p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K192p","Meer","K 192",,"http://vocab.getty.edu/tgn/1000063","51.4446108223","4.74704691469"
"2538","K193a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K193a","Kastelre","K 193a","http://sws.geonames.org/2757996","http://vocab.getty.edu/tgn/7003624","51.4239888966","4.79619277977"
"2539","K193p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K193p","Minderhout","K 193",,"http://vocab.getty.edu/tgn/1000063","51.420099727","4.76733158686"
"2540","K194p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K194p","Alphen","K 194","http://sws.geonames.org/2759877","http://vocab.getty.edu/tgn/7003624","51.4826893157","4.96716539435"
"2541","K195a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K195a","Baarle-Hertog","K 195a",,"http://vocab.getty.edu/tgn/7003624","51.4415364186","4.96156122398"
"2542","K195b","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K195b","Ulicoten","K 195b","http://sws.geonames.org/2745949","http://vocab.getty.edu/tgn/7003624","51.4617508177","4.8740410341"
"2543","K195p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K195p","Baarle-Nassau","K 195","http://sws.geonames.org/2759554","http://vocab.getty.edu/tgn/7003624","51.4526680251","4.93849584567"
"2544","K196a","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K196a","Maarle","K 196a",,"http://vocab.getty.edu/tgn/1000063","51.4757824727","5.04608000811"
"2545","K196p","http://www.meertens.knaw.nl/kloeke/index.php?kloekenummer=K196p","Poppel","K 196",,"http://vocab.getty.edu/tgn/1000063","51.4461915611","5.05228554157"
